,loss,accuracy,val_loss,val_accuracy
0,1.083493138021893,0.6460763812065125,1.0071674585342407,0.6468750238418579
1,0.8282587597105238,0.8077777624130249,0.7660992169380187,0.809374988079071
2,0.6933214006159041,0.8427777886390686,0.6705887258052826,0.8287500143051147
3,0.5980490332841873,0.8640972375869751,0.5328107047080993,0.8634374737739563
4,0.5301641858948601,0.8759722113609314,0.5153303110599518,0.8849999904632568
5,0.47236707243654463,0.8877430558204651,0.4213372629880905,0.9009374976158142
6,0.4316180591450797,0.893993079662323,0.7288019943237305,0.7184374928474426
7,0.3958655907048119,0.9021527767181396,0.36988394021987914,0.9024999737739563
8,0.36011061552498075,0.910729169845581,0.4539671993255615,0.8571875095367432
9,0.33623050636715357,0.9153472185134888,0.3033134287595749,0.9206249713897705
10,0.3107908197244008,0.9212499856948853,0.29363731652498243,0.9281250238418579
11,0.29274785929256014,0.9240624904632568,0.2888357362151146,0.9206249713897705
12,0.2727857642703586,0.9310764074325562,0.2643264979124069,0.9234374761581421
13,0.2581979197594855,0.9312152862548828,0.3477361336350441,0.8896874785423279
14,0.24020522170596653,0.937256932258606,0.3021663519740105,0.9121875166893005
15,0.22527061689231132,0.9414583444595337,0.23733959197998047,0.9353125095367432
16,0.21459629179702866,0.9439583420753479,0.4878831535577774,0.8315625190734863
17,0.20282713305619027,0.9469097256660461,0.2457324233651161,0.9278125166893005
18,0.19444870933890343,0.9479513764381409,0.44924440115690234,0.8353124856948853
19,0.179517499672042,0.9540277719497681,0.21723091334104538,0.9281250238418579
20,0.17491350437204042,0.9539930820465088,0.5008635041117668,0.8500000238418579
21,0.16243191889590688,0.956493079662323,0.27507329791784285,0.9112499952316284
22,0.1540389824575848,0.9603472352027893,0.2930801036953926,0.9131249785423279
23,0.149234709209866,0.960902750492096,0.2017964294552803,0.9393749833106995
24,0.13900004222989082,0.9637152552604675,0.45231589674949646,0.8459374904632568
25,0.13280727528863484,0.9657986164093018,0.38451736479997634,0.8809375166893005
26,0.1289488776193725,0.9669097065925598,0.28883230984210967,0.9106249809265137
27,0.12238839119672776,0.9686458110809326,0.2134554271399975,0.9312499761581421
28,0.11084844592544768,0.9719791412353516,0.33105242639780047,0.887499988079071
